complaint_id,consumer_complaint_narrative,true_label
1794732,"Ditech has called everyday for four days ( Tuesday, XXXX XXXX, 2016 - XXXX XXXX, 2016 ). I advised each caller that I had already spoken to someone in previous days. Today, I got two calls within two minutes of each other ( XXXX and XXXX ). Based on previous experience with them - especially with the representative XXXX 's manager -, I believe Ditech is purposefully harassing me to to force me to make promises of payment that I am not certain I can keep at this time. 
",positive
1461396,"A proposed modification agreement offered is not acceptable to us as terms and conditions are not in accordance with the government 's guidelines and parameters in modifying loans. Clauses and terms are vaque and entail more financial troubles forus in the future. Proposal offered was retroactively dated 2014. 
",neutral
1527326,"Just a little perspective for you : * It has been approximately 1530 days since my last mortgage payment on the property. 
* It has been approximately 1220 days since I informed the mortgage company ( GMAC, now bankrupt, then transferred to XXXX Bank ) of my intention to relinquish the property. 
* It has been approximately 1120 days since I moved out of the property. 
* It has been approximately 1020 days since I filed for bankruptcy and stated in my petition that my intention was to relinquish the property to the new mortgage company ( XXXX ). 
* It has been approximately 945 days since my bankruptcy was finalized and all of my debts were officially discharged including the mortgage on the property. 
* It has been approximately 640 days since the property was "" winterized '' by the new mortgage holder. At this time, they changed the locks and I no longer had any access to the property. 
* It is my assertion that on the date the bank changed the locks, they effectively took over the maintenance, care, and responsibility for the property. Prior to that time, I had continued to maintain the property. After this time, I have done no maintenance or maintained the property as it is not accessible to me. I understand that the mortgage holder and/or HOA has been maintaining the property since the locks were changed. It is my assertion that this was on behalf of the mortgage company who took responsibility for the property back in XXXX of 2013. 
My frustration at the length of time it is taking for me to officially relinquish the property continues to grow. I believe the excessive length of this process has caused me undue stress and emotional damage not to mention the continued negative hit to my credit. It has affected my emotional and physical health negatively and impacted my work, my family, my self image and my relationships. The excessive length of time is cruel and unusual exceeding industry standards of acceptable practice. This current situation due to the length of this process is unjust and punitive. I have done all within my power to remedy the situation. What is my recourse? What do I need to do to resolve this and be given an opportunity to move on with my life? 
",neutral
1555714,"I received an unsolicited letter wanting to consolidate my existing mortgage and an estimated credit card debt of {$5000.00}. The letter stated that Franklin Mortgage Solutions could lower our monthly payments to {$1400.00}. I was given a phone number XXXX to speak with my loan representative. I do not have any credit card debt nor any problems paying my mortgage. The letter is very confusing, leading me to think that I have debt! The "" Account Number '' for "" my case '' is XXXX, sounding like something from the IRS! I was given a phone number to stop receiving "" prescreened offers ''. I called that number but I was not able to ascertain whether this was a legitimate government agency! I can imagine that many people would be confused and very anxious that they were in debt. The "" new loan proposal '' to correct this "" problem '' was a 30 year fixed rate of 4.125 %. This letter is very incomplete regarding all the pertinent details. 
",negative
1587943,"maybe you can help my fiancee cur thru the red tape. wells fargo despite having the money in the account since XXXX reversed payments made to mortgage on XXXX of XXXX and its still showing unpaid. wells fargo bank had held the funds and XXXX told a bank rep that XXXX. at that time loan was showing paid it was then reversed and it is now showing unpaid. we are concerned she will be reported for being late etc. they will not apply the 7 months of pauyments sent them a month ago XXXX and they keep calling us. its beyond belief. why did this happen? the money is there and has been pay the loan as they did and then reversed it we do not know why this is written by jay for XXXX i am on her loan 
",positive
1398084,"I Applied for a loan and gave the Bank Of Arkansas everything they requested and my pay stubs that showed how many hours I Usually work per pay period XXXX to XXXX bi monthly and was in their office and verbally told them what I make monthly {$1000.00} is the Max I Can make without it affecting my XXXX XXXX so I Could purchase A House I Received A Pre Qualification Letter and A Good Faith estimate shortly after I Gave The Bank everything they wanted everything was fine then the person handling my loan asked me how old I was I Told him it was on my Drivers License he had a Copy of and I Told him Almost XXXX he replied wow you do n't look XXXX years old I Thought you were much younger! This was just at the beginning of this week XXXX/XXXX/2015 then the other day he told me that the XXXX. wanted A fee called A "" XXXX months reserves fee '' that the XXXX. wanted not the Bank so I Looked into this and found out that no one else knows what this is and the XXXX. has no such fee! He seemed to get irate.after I asked what the closing costs were but this was on Tuesday XXXX/XXXX/2015 and the closing was suppose to be done on Friday XXXX/XXXX/2015 So I Told him I Needed to know as closing was Friday! He seemed a little upset as I Looked at the contracts so on and could not find any info about the closing costs! IE : From XXXX XXXX XXXX XXXX, If you review your estimated cost summary it shows that it will take around APPROXIMATELY {$1500.00} CASH REQUIRED TO CLOSE. You also need XXXX months reserves which is about {$1700.00}. 

Your debt to income ratio should be about 40 %. Minimum Cash Payments a Month / Monthly Income. 

These are estimates. 

Thanks, XXXX 
",positive
1688124,"My husband got hurt at work 3 years ago. We have had a hard time keeping up with payments. I have started to work to help out but our payments are behind. We dont dispute that we are doing the best we can and are almost back up to date on payments. The problem is that they will call us XXXX times a day when they know we are at work and not able to answer or phones. When we do answer the phone they are always rude and telling us how what we are doing is not good enough and we just need to move out. We have been told many time that they are about to forclose and they leave this on my husbands voice mail after we told them he didnt have that number any more in hopes to cut down the calls to his number. It has got to the point that we dont want to answer the phone at all to talk with them just to be told we are not good enough and that sending our whole paychecks in to them isnt good enough. The company is Ditech. If there is something that can be done please help us. We are at our wits end with them. 
",positive
1736067,"Based on reports released, I was eligible for payments ; a borrower must have had a mortgage loan owned by the XXXX ( better known as "" XXXX '' ) or the XXXX ( better known as "" XXXX XXXX '' ). The loan had to have been serviced by SunTrust and the borrower must have applied for and started a HAMP trial with SunTrust by XX/XX/XXXX. The borrower must also qualify for at least one Victim Compensation and Restitution Plan category. However, the borrower 's loan does not need to be currently serviced by SunTrust, and it does not matter whether the borrower entered into a HAMP or alternative modification, the HAMP application was denied, or the loan went into default or foreclosure. 
( ) The loan servicer failed to adequately respond to a Qualified Written Request ( and an bona fide issue over whether there is a default or what amount was actually owed etc. ) ( 4 ) The lender or loan servicer ( agent of lender ) failed to follow the foreclosure rules ( ex. in regard to the notice of default / notice of sale / contact requirements under 2923.5 etc. ) ( 5 ) The default was "" cured '' most likely due to a modification agreement / trial plan agreement etc. 

According to XXXX This settlement resolves an investigation by the United States Department of Justice ( `` the Government '' ) into the administration of the Home Affordable Modification Program ( "" HAMP '' ) by SunTrust Mortgage , Inc. ( `` SunTrust '' ). 
The Government 's investigation confirmed, and SunTrust agreed, that there were numerous problems with SunTrust 's administration of HAMP from XX/XX/XXXX through at least XX/XX/XXXX. This included, statements to customers that were not accurate, and thousands of homeowners who applied for a HAMP modification with SunTrust suffering harms that included damage to their credit scores, excessive capitalized interest, and being prevented from making an informed choice about saving or disposing of their homes. Congress enacted the Fair Housing Act of XX/XX/XXXX in order to promote equal access to housing opportunities. The Fair Housing Act ( along with its amendments ) states that property owners, financial institutions, and landlords may not discriminate on the basis of race and national origin ( the Act also prohibits discrimination based on sex, religion, family status, disability, and more ). Specifically, property owners, financial institutions, and landlords may not take the following action ( or inaction ) based on race of the actual or potential buyer, tenant, or applicant : Refusing to rent or sell housing ; Refusing to negotiate for housing ; Making housing unavailable ; Providing different terms to different people ; Setting different conditions or privileges for sale or rental of a property ; Denying access to or membership in a facility or service related to the sale or rental of housing ; Imposing different rates and terms on a loan ; Refusing to make a mortgage loan ; and Discriminating in appraising property. Almost all forms of housing are covered by the Fair Housing Act. There are, however, several exceptions to these prohibitions. Generally, owner-occupied buildings with no more than XXXX units, single family housing sold or rented without the use of a broker, and housing operated by organizations and private clubs that limit occupancy to members do not have to comply with the Act. - See more at : XXXX 
",positive
1746647,"I submitted my loan application with XXXX Mortgage. The loan officer, XXXX XXXX, quit her employment with them and started working at GMH Mortgage. She took my financial information without my knowledge and pulled my credit with GMH. When I was notified my credit had been pulled I called GMH and talked to the XXXX. He assured me the inquiry would be immediately taken off my credit so I told him I would not pursue further action. I just had my credit pulled from another company and the inquiry is still on my credit report. The information below is copied/paste from my credit report. She pulled my credit without any authorization or verbal approval from me to do so. Her XXXX. 

Account name XXXX Date of request XXXX/XXXX/XXXX XXXX XXXX XXXX XXXX, MD XXXX XXXX XXXX XXXX Address identification number XXXX Comments Real Estate on behalf of GMH MORTGAGE SERVICES LL. This inquiry is scheduled to continue on record until XXXX XXXX. 
",negative
1713714,"Our loan was recently sold to a new company : International City Mortgage. It has been impossible to set up automatic payment through their website ( the only way they have to set up automatic payment ), despite receiving confirmation emails from them that we successfully registered for their automatic payment system. We have had to pay late fees for a few months while trying to resolve this. Phone-based customer service has been completely unhelpful and was unable/unwilling to set up automatic payments. Customer service told us that receiving confirmation emails from them, stating that we had set up automatic payments, did not prove we had set up automatic payments and therefore late fees could not be waived. Automatic payments are taken out the day before late fees are assessed, so there is very little time to send a payment if things go wrong with their system ( which, in our experience, happens frequently ). 
",positive
