complaint_id,nps_score,nps_segment,product,date_received,submitted_via,company_response_to_consumer,timely_response
1290492,7,Passive,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1290524,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290253,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1292137,8,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290254,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290532,8,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290534,8,Passive,Mortgage,03/19/2015,Web,Closed with non-monetary relief,Yes
1292209,10,Promoter,Credit card or prepaid card,03/19/2015,Web,Closed with monetary relief,Yes
1292159,7,Passive,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1290543,9,Promoter,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290606,7,Passive,Credit card or prepaid card,03/19/2015,Web,Closed with explanation,Yes
1290617,5,Detractor,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1290820,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290841,7,Passive,Student loan,03/19/2015,Web,Closed with explanation,Yes
1290963,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290968,6,Detractor,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1292063,8,Passive,Credit card or prepaid card,03/19/2015,Web,Closed with explanation,Yes
1290999,8,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1292603,8,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291055,10,Promoter,Credit card or prepaid card,03/19/2015,Web,Closed with monetary relief,Yes
1291076,6,Detractor,Student loan,03/19/2015,Web,Closed with explanation,Yes
1291084,9,Promoter,Mortgage,03/19/2015,Web,Closed with monetary relief,Yes
1291085,4,Detractor,Credit card or prepaid card,03/19/2015,Web,Closed with explanation,Yes
1291160,7,Passive,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1291225,8,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1291228,8,Passive,Student loan,03/19/2015,Web,Closed with explanation,Yes
1291251,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291277,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291284,6,Detractor,Mortgage,03/19/2015,Web,Closed,Yes
1291299,9,Promoter,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1290251,5,Detractor,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1292613,5,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291388,7,Passive,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1292069,9,Promoter,Credit card or prepaid card,03/19/2015,Web,Closed with non-monetary relief,Yes
1291393,9,Promoter,Student loan,03/19/2015,Web,Closed with monetary relief,Yes
1291407,8,Passive,Student loan,03/19/2015,Web,Closed with explanation,Yes
1291408,9,Promoter,Credit card or prepaid card,03/19/2015,Web,Closed with non-monetary relief,Yes
1291414,7,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1292415,9,Promoter,Credit card or prepaid card,03/19/2015,Web,Closed with explanation,Yes
1291420,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1292055,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291489,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1290421,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291547,5,Detractor,Credit card or prepaid card,03/19/2015,Web,Closed with explanation,Yes
1292406,10,Promoter,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291551,7,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1291622,10,Promoter,Checking or savings account,03/19/2015,Web,Closed with non-monetary relief,Yes
1291623,10,Promoter,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291632,7,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1291728,6,Detractor,Student loan,03/19/2015,Web,Closed with explanation,Yes
1292621,7,Passive,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1291866,6,Detractor,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1292624,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1291923,7,Passive,Student loan,03/19/2015,Web,Closed with explanation,Yes
1291963,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1292199,6,Detractor,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1290513,6,Detractor,Checking or savings account,03/19/2015,Web,Closed with explanation,Yes
1292011,6,Detractor,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1292027,7,Passive,Mortgage,03/19/2015,Web,Closed with explanation,Yes
1292028,7,Passive,Student loan,03/19/2015,Web,Closed with non-monetary relief,Yes
1292047,6,Detractor,Personal loan,03/19/2015,Web,Closed with explanation,Yes
1292660,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292422,7,Passive,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1292672,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
